cyclomatic_complexity,halstead_volume,maintainability_index,loc,defect_risk,source
1,3503.88,100,1,Low,nasa_pc1
2,2171.63,67.54,49,Low,nasa_kc1
3,5787.95,100,1,Low,nasa_kc2
2,207.15,100,1,Low,nasa_kc2
3,3661.02,74.25,27,Low,nasa_kc1
22,5643.06,2.203712578990139,269,High,nasa_kc1
5,1129.22,100,3,Low,nasa_pc1
6,95.89,66.04502134229749,66,Low,nasa_kc1
3,1499.96,81.93,32,Low,synthetic
8,4508.72,82.66,14,Medium,nasa_pc1
25,12654.76,0,325,High,nasa_kc1
2,5257.62,50.14,108,Medium,nasa_kc2
11,10,94.83,45,Low,nasa_kc1
17,3993.51,91.24419606609331,3,Medium,nasa_kc2
12,8758.28,46.27,101,High,nasa_pc1
13,4543.78,61.17,49,High,nasa_pc1
2,540.86,100,1,Low,nasa_kc2
6,10,100,16,Low,nasa_pc1
2,1305.84,79.37,44,Low,synthetic
2,1188.87,100,4,Low,nasa_kc1
1,349.35,100,6,Low,nasa_kc1
2,763.7,72.33,51,Low,nasa_kc1
3,1042.14,93.92,12,Low,nasa_kc1
6,4362.29,57.45,69,Medium,nasa_kc2
5,4334.32,57.48,70,Medium,nasa_kc1
1,540.04,77.02,90,Low,synthetic
20,10348.14,35.259065737199734,82,High,nasa_kc1
1,10,100,7,Low,nasa_kc1
2,609.84,98.35,11,Low,nasa_kc2
1,1204.87,65.76,67,Low,nasa_kc1
7,660.28,95.6,62,Low,synthetic
11,12480.43,21.528400322093056,214,High,nasa_kc1
4,4169.07,100,1,Low,nasa_kc2
1,517.74,86.79,24,Low,nasa_kc2
33,14862.25,8.94333911707282,170,High,nasa_kc1
5,3450.45,72.94,29,Low,nasa_pc1
1,10,96.77,46,Low,nasa_kc1
1,287.0,99.79,13,Low,nasa_pc1
1,10,100,11,Low,nasa_pc1
1,319.97,91.45,21,Low,nasa_pc1
1,296.33,100,11,Low,nasa_pc1
6,10,100,4,Low,nasa_pc1
1,10,100,6,Low,nasa_pc1
1,507.29,82.23,32,Low,nasa_pc1
4,10,100,15,Low,nasa_kc1
4,10,100,1,Low,nasa_kc1
17,7029.53,87.34,8,Medium,nasa_kc1
5,2796.07,41.56006702329308,95,Medium,nasa_kc2
10,3860.32,46.05,137,Medium,nasa_pc1
1,373.06,100,7,Low,nasa_pc1
1,495.94,93.58,16,Low,nasa_kc1
3,1984.61,67.78,49,Low,nasa_pc1
6,341.09,91.59,19,Low,nasa_kc1
